en,de
Press E or I to advance to the next word/image.,"Drücken Sie die Tasten ""E""/[E] oder ""I""/[I], um zum nächsten Wort/Bild zu gelangen."
Correct mistakes by pressing the other key.,"Korrigieren Sie Fehler, indem Sie die andere Taste drücken."
Correct errors by hitting the other key.,"Korrigieren Sie Fehler, indem Sie die andere Taste drücken."
The label/item colors may help you identify the appropriate category.,"Die Farben der Bezeichnung/des Gegenstandes können Ihnen helfen, die entsprechend Kategorie zu identifizieren."
Correct errors by pressing the other key.,"Korrigieren Sie Fehler, indem Sie die andere Taste drücken."
Your web browser encountered an issue running this portion of the study. You will be skipped ahead. You may have to click through this message several times.,Ihr Webbrowser hat ein Problem beim Ausführen dieses Teils der Studie festgestellt. Sie werden nun automatisch weitergeleitet. Sie müssen möglicherweise mehrmals auf diese Meldung klicken.
Loading all the content,Alle Inhalte werden geladen.
This should take less than 1 minute,Dies sollte weniger als 1 Minute dauern.
"Instructions: Place your left and right index fingers on the <span style=\""font-weight: strong\"">E<\/span> and <span style=\""font-weight: strong\"">I<\/span> keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. <br><br>When the word/image belongs to the category on the left, press the <span style=\""font-weight: bold\"">E<\/span> key as fast as you can. When it belongs to the category on the right, press the <span style=\""font-weight: bold\"">I<\/span> key as fast as you can. If you make an error, a red <span style=\""font-weight: bold; color: red\"">X<\/span> will appear.","Anleitung: Platzieren Sie nun Ihren linken und rechten Zeigefinger jeweils auf die  <span style=\""font-weight: strong\"">E<\/span> und <span style=\""font-weight: strong\"">I<\/span> Taste. Oben auf dem Bildschirm befinden sich 2 Kategorien. Bei dieser Aufgabe erscheinen Wörter und/oder Bilder in der Mitte des Bildschirms.   <br><br>Wenn das Wort/Bild zur Kategorie auf der linken Seite gehört, drücken Sie bitte so schnell wie möglich die  <span style=\""font-weight: bold\"">E<\/span> Taste. Wenn das Wort/Bild zur Kategorie auf der rechten Seite gehört, drücken Sie bitte so schnell wie möglich die  <span style=\""font-weight: bold\"">I<\/span> Taste. Wenn Sie einen Fehler machen, erscheint ein rotes <span style=\""font-weight: bold; color: red\"">X<\/span> auf dem Bildschirm."
Please try to go as <em>fast as you can<\/em> while making as few errors as possible.,Bitte versuchen Sie so <em>schnell wie möglich</em> vorzugehen und dabei so wenig Fehler wie möglich zu machen.
"When you are ready, please press the [Space] bar to begin.","Wenn Sie bereit sind, drücken Sie bitte die \""Leertaste\"", um zu beginnen."
Part 1 of 7,Teil 1 von 7
"Now, the categories have changed, but the rules remain the same.","Nun haben sich die Kategorien geändert, aber die Regeln bleiben gleich."
Part 2 of 7,Teil 2 von 7
\tor,\toder
"Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories.","Nun werden die vier Kategorien, die Sie zuvor separat gesehen haben, zusammen erscheinen. Denken Sie daran: jedes Wort/Bild passt nur in eine der vier Kategorien."
"Use the <span style=\""font-weight: bold\"">E<\/span> key for the two categories on the left and the <span style=\""font-weight: bold\"">I<\/span> key for the two categories on the right. Again, try to go as fast as possible without making mistakes.","Verwenden Sie die <span style=\""font-weight: bold\"">E<\/span>-Taste für die beiden Kategorien auf der linken Seite und die <span style=\""font-weight: bold\"">I<\/span>-Taste für die beiden Kategorien auf der rechten Seite. Versuchen Sie erneut, so schnell wie möglich zu sein, ohne Fehler zu machen."
Practice this combination now.,Bitte üben Sie nun das Lösen der Aufgabe mit dieser neuen Anordnung der Kategorien. 
Part 3 of 7,Teil 3 von 7
"Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.","Bitte setzen Sie die Aufgabe weiter so fort, wie Sie sie gerade ausgeführt haben. Versuchen Sie dabei erneut, so schnell wie möglich vorzugehen, ohne Fehler zu machen."
Part 4 of 7,Teil 4 von 7
Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as <em>fast as you can<\/em> while making as few errors as possible.,"Bitte beachten Sie, dass die Kategorien von vorher nun die Seiten gewechselt haben. Bitte üben Sie nun das Lösen der Aufgabe mit dieser neue Anordnung der Kategorien. Versuchen Sie bitte <em>so schnell wie möglich<\/em> vorzugehen und dabei so wenig Fehler wie möglich zu machen."
Part 5 of 7,Teil 5 von 7
"Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.","Bitte beachten Sie, dass die vier Kategorien nun erneut kombiniert wurden, jedoch in einer neuen Anordnung. Bitte üben Sie nun das Lösen der Aufgabe mit dieser neue Anordnung der Kategorien. Versuchen Sie bitte <em>so schnell wie möglich<\/em> vorzugehen und dabei so wenig Fehler wie möglich zu machen."
Part 6 of 7,Teil 6 von 7
"Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.","Bitte setzen Sie die Aufgabe weiter so fort, wie Sie sie gerade ausgeführt haben, und versuchen Sie weiterhin, so schnell wie möglich vorzugehen und so wenig Fehler wie möglich zu machen."
Part 7 of 7,Teil 7 von 7
The survey software has detected that you are attempting to take this survey from an incompatible device. The survey contains questions that will only function correctly on a computer with a keyboard. Please open this survey from a computer with a keyboard.,"Die Umfrage-Software hat erkannt, dass Sie versuchen, diese Umfrage von einem nicht kompatiblen Gerät aus durchzuführen. Die Umfrage enthält Fragen, die nur auf einem Computer mit Tastatur ordnungsgemäß durchgeführt werden können. Bitte öffnen Sie diese Umfrage mit einem Computer mit Tastatur."
